"trial_type","trial_index","time_elapsed","internal_node_id","image_switchboard","scene_order","subject","session","study","fam_seq","trainingSeq_random","success"
"pavlovia","0","3","0.0-0.0","img/obj10.png,img/obj4.png,img/obj2.png,img/obj6.png,img/obj11.png,img/obj8.png,img/obj9.png,img/obj1.png,img/obj7.png,img/obj12.png,img/obj5.png,img/obj3.png","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","","","","3,2,1,1,1,3,3,1,5,1,1,2,2,1,3,2,2,6,1,2,2,1,1,3,2,2,6,1,2,1,2,1,3,2,2,6,1,2,1,2,1,4,2,2,6,1,1,1,2,3,4,2,2,5,3,2,1,2,1,4,2,2,5,3,2,2,1,3,3,2,1,5,1,1,1,2,1,3,2,2,5,1,2,2,2,3,3,3,1,5,1,2,2,1,1,4,3,1,5,3,2,2,1,3,4,3,1,5,3,2,2,1,1,3,1,2,6,1,1,2,2,3,4,3,1,5,1,1,2,1,3,3,2,1,6,1,2,2,2,3,3,2,1,6,1,1,2,2,1,4,2,2,5,3,1,1,1,1,3,1,2,6,3,2,1,1,3,3,1,1,6,1,1,1,2,3,4,3,1,5,3,2,1,1,3,4,3,1,5,1,1,1,2,1,4,3,2,5,1,1,2,2,3,4,2,2,5,3,2,2,1,3,3,1,1,6,1,1,1,2,3,3,3,1,5,3,1,2,1,3,4,1,1,6,3,2,2,2,1,4,1,1,6,3,1,1,2,3,4,1,1,6,3,1,1,2,3,4,2,2,5,1,2,2,1,1,3,3,2,5,1,1,2,2,3,3,2,1,6,1,1,1,2,1,3,2,2,6,1,2,1,2,1,3,1,1,6,1,1,1,1,3,4,2,2,6,1,1,2,2,1,3,3,2,5,3,1,1,1,1,4,1,2,6,3,1,1,1,3,3,2,1,5,1,2,1,2,3,3,3,1,5,3,1,2,2,3,3,1,1,6,3,1,1,1,1,4,2,2,6,3,2,2,1,3,4,1,1,6,1,2,1,1,1,3,3,1,5,3,1,2,2,3,4,2,1,5,3,1,1,1,1,4,2,2,5,3,1,1,2,3,4,2,1,5,3,1,2,1,3,3,1,1,6,3,2,2,2,1,3,1,1,6,3,1,2,1,1,3,2,2,6,1,2,1,2,1,3,3,2,5,1,1,2,2,3,3,3,1,5,1,1,2,1,3,3,2,2,6,3,2,1,2,1,3,1,1,6,1,1,2,2,1,3,2,2,5,3,2,1,2,1,3,2,2,5,1,2,1,2,3,4,2,1,6,3,2,2,1,1,3,2,2,5,3,2,1,2,1,3,1,2,6,1,1,2,2,3,3,2,2,5,1,1,2,2,1,4,2,2,6,1,1,1,2,3,4,2,1,6,3,2,1,1,3,4,2,1,5,1,1,1,1,3,3,3,1,5,1,1,2,1,3,4,3,1,5,3,2,1,1,3,3,3,1,5,3,2,1,1,1,4,1,2,6,3,1,1,1,3,4,1,1,6,3,1,1,2,3,3,2,2,5,1,1,1,2,1,4,2,2,6,3,1,2,2,3,4,1,1,6,3,2,2,2,1,4,1,2,6,3,1,2,1,3,4,2,2,6,1,2,1,1,1,3,3,2,5,1,2,2,2,3,4,3,1,5,3,1,2,1,1,3,1,2,6,3,2,2,1,1,4,1,2,6,3,2,2,2,1,4,2,2,5,3,2,2,1,3,4,2,1,5,3,1,2,1,3,4,2,1,5,1,1,1,1,3,4,3,1,5,1,2,1,1,1,4,3,1,5,1,1,1,2,3,3,2,2,5,1,2,1,2,3,3,2,1,6,1,2,1,1,1,4,2,2,6,3,2,1,1,1,4,3,1,5,3,2,1,1,3,4,1,1,6,3,2,1,1,1,3,1,2,6,1,2,2,1,1,4,3,2,5,1,2,2,1,1,4,2,2,6,1,2,2,2,1,4,2,2,6,1,2,2,2,1,3,1,1,6,1,2,2,2,3,4,1,1,6,3,1,1,1,3,3,1,1,6,3,2,1,1,1,4,2,2,5,3,2,2,2,1,3,2,2,5,3,1,1,1,1,3,2,2,5,3,2,2,2,1,3,1,2,6,3,1,2,1,3,3,2,2,6,1,1,1,2,3,3,2,1,6,1,1,2,1,3,3,3,1,5,1,2,1,1,1,4,3,2,5,3,1,1,1,3,4,2,2,6,1,1,2,1,3,4,2,2,6,1,2,1,2,3,4,1,1,6,1,2,2,2,1,4,1,1,6,3,1,1,1,1,3,2,2,6,1,1,2,2,1,4,3,2,5,1,2,1,2,3,4,3,1,5,3,1,1,1,3,4,2,1,5,3,1,2,1,1,4,2,2,6,1,2,2,1,1,3,3,1,5,1,1,2,2,3,4,2,1,6,3,2,1,1,1,3,2,2,5,3,1,1,2,3,3,2,1,5,1,2,1,2,3,3,1,1,6,3,1,1,2,3,3,1,1,6,3,2,2,1,1,3,3,1,5,1,1,1,2,1,3,3,2,5,3,2,1,2,1,4,1,2,6,1,2,2,2,1,4,3,2,5,3,1,1,1,3,3,2,2,6,3,1,2,1,1,3,2,2,5,1,2,1,2,1,4,3,2,5,1,1,1,2,1,4,2,2,5,3,1,2,2,3,3,2,2,5,1,2,1,2,1,4,1,1,6,1,1,2,1,3,4,2,1,6,1,2,2,2,3,4,2,1,6,1,2,2,2,1,3,3,2,5,3,1,2,1,1,4,2,2,5,3,1,2,1,3,3,2,1,5,3,1,2,2,3,4,2,2,5,3,2,2,1,1,4,2,2,5,1,1,1,1,3,4,2,1,6,3,2,2,1,3,3,3,1,5,3,1,2,1,1,4,1,2,6,3,2,1,1,3,3,2,1,5,3,2,2,1,1,4,3,1,5,1,1,1,1,3,3,2,1,6,3,1,2,2,3,3,2,1,5,1,1,1,1,3,3,2,2,6,1,2,1,1,1,3,2,2,6,1,2,2,2,1,3,2,2,6,1,2,2,2,3,3,1,1,6,3,2,1,2,1,4,1,1,6","116,9,69,44,46,18,122,133,4,49,67,143,113,15,29,53,7,76,136,14,142,2,19,137,12,103,131,94,86,61,21,8,40,34,1,78,96,48,93,82,139,64,91,74,90,101,129,81,36,13,33,128,5,120,54,109,124,17,11,22,134,24,27,140,114,102,84,10,95,127,107,60,51,77,115,123,135,99,26,66,16,52,70,118,138,112,63,71,47,41,59,100,110,121,72,125,105,20,25,62,106,35,58,43,80,3,50,98,83,65,23,108,88,56,92,117,0,126,39,104,73,38,6,85,42,31,55,37,75,97,87,111,30,141,79,132,119,28,89,32,68,45,57,130",""
"fullscreen","1","2287","0.0-1.0","img/obj10.png,img/obj4.png,img/obj2.png,img/obj6.png,img/obj11.png,img/obj8.png,img/obj9.png,img/obj1.png,img/obj7.png,img/obj12.png,img/obj5.png,img/obj3.png","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","","","","3,2,1,1,1,3,3,1,5,1,1,2,2,1,3,2,2,6,1,2,2,1,1,3,2,2,6,1,2,1,2,1,3,2,2,6,1,2,1,2,1,4,2,2,6,1,1,1,2,3,4,2,2,5,3,2,1,2,1,4,2,2,5,3,2,2,1,3,3,2,1,5,1,1,1,2,1,3,2,2,5,1,2,2,2,3,3,3,1,5,1,2,2,1,1,4,3,1,5,3,2,2,1,3,4,3,1,5,3,2,2,1,1,3,1,2,6,1,1,2,2,3,4,3,1,5,1,1,2,1,3,3,2,1,6,1,2,2,2,3,3,2,1,6,1,1,2,2,1,4,2,2,5,3,1,1,1,1,3,1,2,6,3,2,1,1,3,3,1,1,6,1,1,1,2,3,4,3,1,5,3,2,1,1,3,4,3,1,5,1,1,1,2,1,4,3,2,5,1,1,2,2,3,4,2,2,5,3,2,2,1,3,3,1,1,6,1,1,1,2,3,3,3,1,5,3,1,2,1,3,4,1,1,6,3,2,2,2,1,4,1,1,6,3,1,1,2,3,4,1,1,6,3,1,1,2,3,4,2,2,5,1,2,2,1,1,3,3,2,5,1,1,2,2,3,3,2,1,6,1,1,1,2,1,3,2,2,6,1,2,1,2,1,3,1,1,6,1,1,1,1,3,4,2,2,6,1,1,2,2,1,3,3,2,5,3,1,1,1,1,4,1,2,6,3,1,1,1,3,3,2,1,5,1,2,1,2,3,3,3,1,5,3,1,2,2,3,3,1,1,6,3,1,1,1,1,4,2,2,6,3,2,2,1,3,4,1,1,6,1,2,1,1,1,3,3,1,5,3,1,2,2,3,4,2,1,5,3,1,1,1,1,4,2,2,5,3,1,1,2,3,4,2,1,5,3,1,2,1,3,3,1,1,6,3,2,2,2,1,3,1,1,6,3,1,2,1,1,3,2,2,6,1,2,1,2,1,3,3,2,5,1,1,2,2,3,3,3,1,5,1,1,2,1,3,3,2,2,6,3,2,1,2,1,3,1,1,6,1,1,2,2,1,3,2,2,5,3,2,1,2,1,3,2,2,5,1,2,1,2,3,4,2,1,6,3,2,2,1,1,3,2,2,5,3,2,1,2,1,3,1,2,6,1,1,2,2,3,3,2,2,5,1,1,2,2,1,4,2,2,6,1,1,1,2,3,4,2,1,6,3,2,1,1,3,4,2,1,5,1,1,1,1,3,3,3,1,5,1,1,2,1,3,4,3,1,5,3,2,1,1,3,3,3,1,5,3,2,1,1,1,4,1,2,6,3,1,1,1,3,4,1,1,6,3,1,1,2,3,3,2,2,5,1,1,1,2,1,4,2,2,6,3,1,2,2,3,4,1,1,6,3,2,2,2,1,4,1,2,6,3,1,2,1,3,4,2,2,6,1,2,1,1,1,3,3,2,5,1,2,2,2,3,4,3,1,5,3,1,2,1,1,3,1,2,6,3,2,2,1,1,4,1,2,6,3,2,2,2,1,4,2,2,5,3,2,2,1,3,4,2,1,5,3,1,2,1,3,4,2,1,5,1,1,1,1,3,4,3,1,5,1,2,1,1,1,4,3,1,5,1,1,1,2,3,3,2,2,5,1,2,1,2,3,3,2,1,6,1,2,1,1,1,4,2,2,6,3,2,1,1,1,4,3,1,5,3,2,1,1,3,4,1,1,6,3,2,1,1,1,3,1,2,6,1,2,2,1,1,4,3,2,5,1,2,2,1,1,4,2,2,6,1,2,2,2,1,4,2,2,6,1,2,2,2,1,3,1,1,6,1,2,2,2,3,4,1,1,6,3,1,1,1,3,3,1,1,6,3,2,1,1,1,4,2,2,5,3,2,2,2,1,3,2,2,5,3,1,1,1,1,3,2,2,5,3,2,2,2,1,3,1,2,6,3,1,2,1,3,3,2,2,6,1,1,1,2,3,3,2,1,6,1,1,2,1,3,3,3,1,5,1,2,1,1,1,4,3,2,5,3,1,1,1,3,4,2,2,6,1,1,2,1,3,4,2,2,6,1,2,1,2,3,4,1,1,6,1,2,2,2,1,4,1,1,6,3,1,1,1,1,3,2,2,6,1,1,2,2,1,4,3,2,5,1,2,1,2,3,4,3,1,5,3,1,1,1,3,4,2,1,5,3,1,2,1,1,4,2,2,6,1,2,2,1,1,3,3,1,5,1,1,2,2,3,4,2,1,6,3,2,1,1,1,3,2,2,5,3,1,1,2,3,3,2,1,5,1,2,1,2,3,3,1,1,6,3,1,1,2,3,3,1,1,6,3,2,2,1,1,3,3,1,5,1,1,1,2,1,3,3,2,5,3,2,1,2,1,4,1,2,6,1,2,2,2,1,4,3,2,5,3,1,1,1,3,3,2,2,6,3,1,2,1,1,3,2,2,5,1,2,1,2,1,4,3,2,5,1,1,1,2,1,4,2,2,5,3,1,2,2,3,3,2,2,5,1,2,1,2,1,4,1,1,6,1,1,2,1,3,4,2,1,6,1,2,2,2,3,4,2,1,6,1,2,2,2,1,3,3,2,5,3,1,2,1,1,4,2,2,5,3,1,2,1,3,3,2,1,5,3,1,2,2,3,4,2,2,5,3,2,2,1,1,4,2,2,5,1,1,1,1,3,4,2,1,6,3,2,2,1,3,3,3,1,5,3,1,2,1,1,4,1,2,6,3,2,1,1,3,3,2,1,5,3,2,2,1,1,4,3,1,5,1,1,1,1,3,3,2,1,6,3,1,2,2,3,3,2,1,5,1,1,1,1,3,3,2,2,6,1,2,1,1,1,3,2,2,6,1,2,2,2,1,3,2,2,6,1,2,2,2,3,3,1,1,6,3,2,1,2,1,4,1,1,6","116,9,69,44,46,18,122,133,4,49,67,143,113,15,29,53,7,76,136,14,142,2,19,137,12,103,131,94,86,61,21,8,40,34,1,78,96,48,93,82,139,64,91,74,90,101,129,81,36,13,33,128,5,120,54,109,124,17,11,22,134,24,27,140,114,102,84,10,95,127,107,60,51,77,115,123,135,99,26,66,16,52,70,118,138,112,63,71,47,41,59,100,110,121,72,125,105,20,25,62,106,35,58,43,80,3,50,98,83,65,23,108,88,56,92,117,0,126,39,104,73,38,6,85,42,31,55,37,75,97,87,111,30,141,79,132,119,28,89,32,68,45,57,130","true"
