"trial_type","trial_index","time_elapsed","internal_node_id","image_switchboard","scene_order","subject","fam_seq","trainingSeq_random","success"
"pavlovia","0","4","0.0-0.0","img/obj4.png,img/obj11.png,img/obj1.png,img/obj7.png,img/obj6.png,img/obj10.png,img/obj8.png,img/obj12.png,img/obj2.png,img/obj9.png,img/obj5.png,img/obj3.png","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","","1,2,2,2,1,4,3,2,5,1,1,2,2,3,4,3,1,5,3,2,1,1,3,4,2,1,5,3,2,1,1,3,3,2,1,5,1,2,1,2,3,3,2,1,6,1,1,1,1,3,4,3,1,5,3,2,2,1,1,4,2,2,5,3,2,1,1,3,3,3,1,5,1,2,1,1,1,3,3,1,5,3,1,1,2,3,4,2,2,5,3,1,1,1,3,3,2,1,5,1,1,1,2,3,4,3,1,5,1,1,2,2,3,3,2,1,6,3,2,2,1,3,4,1,1,6,3,1,2,1,3,4,1,1,6,3,2,1,1,1,3,1,2,6,3,2,2,1,3,3,3,1,5,3,1,2,1,3,3,1,1,6,1,2,1,1,1,4,3,1,5,1,1,2,2,1,4,2,2,6,1,2,1,2,1,3,3,2,5,3,1,2,1,3,4,2,1,5,3,1,1,2,3,3,1,1,6,3,1,2,2,3,4,2,1,5,1,2,1,2,1,4,1,1,6,1,2,1,2,3,3,3,1,5,1,1,1,2,3,3,2,2,5,1,1,1,2,1,3,3,2,5,1,2,1,2,3,3,1,1,6,1,2,2,2,3,3,3,1,5,3,2,2,2,1,3,1,1,6,1,2,2,2,3,3,1,1,6,3,1,1,2,3,3,2,1,5,3,1,2,2,3,3,1,1,6,1,2,1,1,1,4,2,2,6,3,1,2,2,3,3,2,1,5,1,1,2,2,1,4,2,2,5,1,1,1,2,1,4,3,2,5,1,1,1,2,1,3,2,2,5,1,2,2,2,1,4,1,1,6,1,2,2,2,1,3,2,2,6,1,2,2,1,1,3,3,1,5,1,1,2,2,1,3,2,2,5,3,2,2,2,1,3,2,2,5,3,2,1,2,1,4,1,1,6,3,1,2,1,1,4,2,2,6,3,1,2,1,3,4,2,2,6,1,2,2,1,1,4,3,2,5,1,2,1,2,3,4,2,1,6,3,1,2,1,1,4,1,2,6,1,1,1,1,3,3,2,2,6,3,2,2,1,3,4,3,1,5,3,1,1,2,3,3,2,2,5,3,1,1,1,3,4,2,2,6,3,1,1,1,1,3,2,2,6,1,1,2,2,3,4,2,2,5,3,1,2,1,1,4,2,2,5,1,2,1,2,1,4,3,2,5,3,1,1,1,3,3,2,2,6,3,1,1,2,3,4,1,1,6,1,2,2,1,1,4,3,1,5,3,2,2,2,1,4,1,2,6,3,2,2,1,1,3,2,2,5,1,1,1,2,3,4,2,1,6,3,1,2,2,3,4,1,1,6,3,2,1,1,1,4,3,1,5,3,2,2,1,3,4,2,1,5,3,2,2,1,1,3,3,1,5,3,2,2,2,1,4,1,1,6,3,2,1,1,3,4,1,1,6,1,1,1,1,3,4,2,2,6,1,2,1,2,1,3,2,2,6,3,1,2,1,3,3,2,1,5,3,1,2,1,1,3,2,2,5,3,2,2,2,1,3,1,2,6,3,2,1,1,3,3,1,1,6,3,2,1,2,1,3,1,2,6,1,1,2,2,1,3,3,2,5,3,2,1,2,1,4,2,2,5,3,2,2,1,1,4,1,2,6,1,2,1,2,3,4,3,1,5,3,1,1,1,1,4,1,2,6,3,2,1,1,1,4,1,2,6,1,1,2,2,1,3,2,2,6,3,1,2,1,1,3,1,2,6,3,1,1,1,1,4,2,2,6,3,2,1,1,3,4,3,1,5,3,2,2,1,3,3,2,1,5,1,1,2,1,3,3,2,2,6,1,1,1,2,3,3,2,1,6,3,1,1,1,1,4,2,2,5,3,2,2,1,1,4,3,1,5,1,1,1,1,3,3,3,1,5,1,1,1,2,1,3,2,2,6,1,2,2,2,3,3,2,1,6,3,2,1,1,1,4,2,2,5,1,2,1,1,1,3,2,2,6,3,2,2,1,1,3,1,2,6,1,1,1,1,3,4,2,1,6,1,1,2,1,3,3,3,1,5,3,2,1,1,1,3,3,1,5,3,1,1,2,3,4,2,1,5,3,2,1,2,1,4,1,2,6,1,1,2,2,3,3,3,1,5,3,2,1,2,1,3,1,1,6,1,2,2,2,3,4,2,1,6,3,1,1,1,1,3,2,2,5,1,1,2,1,3,4,3,1,5,1,2,2,1,1,4,2,2,6,1,2,1,2,1,3,1,1,6,1,2,1,1,1,3,3,2,5,1,2,2,2,3,4,3,1,5,3,1,1,1,3,4,2,1,5,1,2,1,2,1,4,2,2,6,1,2,2,2,3,4,1,1,6,3,2,1,2,1,3,2,2,5,1,1,1,2,3,3,3,1,5,1,1,2,1,3,4,2,1,6,3,2,1,1,1,3,2,2,5,3,1,2,2,3,3,2,2,5,1,1,2,2,3,4,2,1,6,1,2,2,1,1,3,3,2,5,1,1,2,1,3,4,2,2,6,3,1,1,1,1,3,1,2,6,1,2,2,1,1,3,2,2,6,1,1,1,2,3,4,2,2,5,1,2,2,2,1,3,3,2,5,1,1,2,2,3,3,2,2,5,1,2,1,1,1,4,3,2,5,3,1,2,1,1,3,2,2,6,1,2,1,2,3,4,1,1,6,1,1,2,2,1,4,3,2,5,1,1,1,2,1,4,2,2,5,3,1,1,1,3,3,1,1,6,1,2,2,2,1,4,2,2,6,1,2,2,2,1,3,1,1,6,1,1,1,1,3,3,2,1,6,1,1,2,1,3,3,2,1,6,1,1,1,2,1,4,2,2,6,3,1,2,2,3,4,2,2,5,3,2,2,2,1,4,2,2,5,3,2,2,1,3,3,1,1,6,3,1,2,1,3,3,2,2,6,3,1,1,1,3,4,1,1,6","39,15,134,132,52,26,111,140,64,86,96,14,21,139,103,112,141,101,66,11,36,99,92,91,42,48,16,0,56,49,129,57,88,93,70,89,7,2,4,43,45,65,5,121,130,83,107,63,54,79,32,143,84,106,80,19,75,38,104,94,67,127,109,22,95,118,135,117,131,138,34,44,97,73,125,136,124,1,122,115,50,78,114,9,77,82,142,133,33,20,74,119,24,8,53,110,68,113,30,25,116,90,126,13,128,55,72,27,71,40,60,51,98,46,59,120,12,31,108,85,23,61,35,76,69,18,37,17,62,81,58,3,6,100,47,41,28,29,10,87,123,137,105,102",""
"fullscreen","1","2296","0.0-1.0","img/obj4.png,img/obj11.png,img/obj1.png,img/obj7.png,img/obj6.png,img/obj10.png,img/obj8.png,img/obj12.png,img/obj2.png,img/obj9.png,img/obj5.png,img/obj3.png","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","","1,2,2,2,1,4,3,2,5,1,1,2,2,3,4,3,1,5,3,2,1,1,3,4,2,1,5,3,2,1,1,3,3,2,1,5,1,2,1,2,3,3,2,1,6,1,1,1,1,3,4,3,1,5,3,2,2,1,1,4,2,2,5,3,2,1,1,3,3,3,1,5,1,2,1,1,1,3,3,1,5,3,1,1,2,3,4,2,2,5,3,1,1,1,3,3,2,1,5,1,1,1,2,3,4,3,1,5,1,1,2,2,3,3,2,1,6,3,2,2,1,3,4,1,1,6,3,1,2,1,3,4,1,1,6,3,2,1,1,1,3,1,2,6,3,2,2,1,3,3,3,1,5,3,1,2,1,3,3,1,1,6,1,2,1,1,1,4,3,1,5,1,1,2,2,1,4,2,2,6,1,2,1,2,1,3,3,2,5,3,1,2,1,3,4,2,1,5,3,1,1,2,3,3,1,1,6,3,1,2,2,3,4,2,1,5,1,2,1,2,1,4,1,1,6,1,2,1,2,3,3,3,1,5,1,1,1,2,3,3,2,2,5,1,1,1,2,1,3,3,2,5,1,2,1,2,3,3,1,1,6,1,2,2,2,3,3,3,1,5,3,2,2,2,1,3,1,1,6,1,2,2,2,3,3,1,1,6,3,1,1,2,3,3,2,1,5,3,1,2,2,3,3,1,1,6,1,2,1,1,1,4,2,2,6,3,1,2,2,3,3,2,1,5,1,1,2,2,1,4,2,2,5,1,1,1,2,1,4,3,2,5,1,1,1,2,1,3,2,2,5,1,2,2,2,1,4,1,1,6,1,2,2,2,1,3,2,2,6,1,2,2,1,1,3,3,1,5,1,1,2,2,1,3,2,2,5,3,2,2,2,1,3,2,2,5,3,2,1,2,1,4,1,1,6,3,1,2,1,1,4,2,2,6,3,1,2,1,3,4,2,2,6,1,2,2,1,1,4,3,2,5,1,2,1,2,3,4,2,1,6,3,1,2,1,1,4,1,2,6,1,1,1,1,3,3,2,2,6,3,2,2,1,3,4,3,1,5,3,1,1,2,3,3,2,2,5,3,1,1,1,3,4,2,2,6,3,1,1,1,1,3,2,2,6,1,1,2,2,3,4,2,2,5,3,1,2,1,1,4,2,2,5,1,2,1,2,1,4,3,2,5,3,1,1,1,3,3,2,2,6,3,1,1,2,3,4,1,1,6,1,2,2,1,1,4,3,1,5,3,2,2,2,1,4,1,2,6,3,2,2,1,1,3,2,2,5,1,1,1,2,3,4,2,1,6,3,1,2,2,3,4,1,1,6,3,2,1,1,1,4,3,1,5,3,2,2,1,3,4,2,1,5,3,2,2,1,1,3,3,1,5,3,2,2,2,1,4,1,1,6,3,2,1,1,3,4,1,1,6,1,1,1,1,3,4,2,2,6,1,2,1,2,1,3,2,2,6,3,1,2,1,3,3,2,1,5,3,1,2,1,1,3,2,2,5,3,2,2,2,1,3,1,2,6,3,2,1,1,3,3,1,1,6,3,2,1,2,1,3,1,2,6,1,1,2,2,1,3,3,2,5,3,2,1,2,1,4,2,2,5,3,2,2,1,1,4,1,2,6,1,2,1,2,3,4,3,1,5,3,1,1,1,1,4,1,2,6,3,2,1,1,1,4,1,2,6,1,1,2,2,1,3,2,2,6,3,1,2,1,1,3,1,2,6,3,1,1,1,1,4,2,2,6,3,2,1,1,3,4,3,1,5,3,2,2,1,3,3,2,1,5,1,1,2,1,3,3,2,2,6,1,1,1,2,3,3,2,1,6,3,1,1,1,1,4,2,2,5,3,2,2,1,1,4,3,1,5,1,1,1,1,3,3,3,1,5,1,1,1,2,1,3,2,2,6,1,2,2,2,3,3,2,1,6,3,2,1,1,1,4,2,2,5,1,2,1,1,1,3,2,2,6,3,2,2,1,1,3,1,2,6,1,1,1,1,3,4,2,1,6,1,1,2,1,3,3,3,1,5,3,2,1,1,1,3,3,1,5,3,1,1,2,3,4,2,1,5,3,2,1,2,1,4,1,2,6,1,1,2,2,3,3,3,1,5,3,2,1,2,1,3,1,1,6,1,2,2,2,3,4,2,1,6,3,1,1,1,1,3,2,2,5,1,1,2,1,3,4,3,1,5,1,2,2,1,1,4,2,2,6,1,2,1,2,1,3,1,1,6,1,2,1,1,1,3,3,2,5,1,2,2,2,3,4,3,1,5,3,1,1,1,3,4,2,1,5,1,2,1,2,1,4,2,2,6,1,2,2,2,3,4,1,1,6,3,2,1,2,1,3,2,2,5,1,1,1,2,3,3,3,1,5,1,1,2,1,3,4,2,1,6,3,2,1,1,1,3,2,2,5,3,1,2,2,3,3,2,2,5,1,1,2,2,3,4,2,1,6,1,2,2,1,1,3,3,2,5,1,1,2,1,3,4,2,2,6,3,1,1,1,1,3,1,2,6,1,2,2,1,1,3,2,2,6,1,1,1,2,3,4,2,2,5,1,2,2,2,1,3,3,2,5,1,1,2,2,3,3,2,2,5,1,2,1,1,1,4,3,2,5,3,1,2,1,1,3,2,2,6,1,2,1,2,3,4,1,1,6,1,1,2,2,1,4,3,2,5,1,1,1,2,1,4,2,2,5,3,1,1,1,3,3,1,1,6,1,2,2,2,1,4,2,2,6,1,2,2,2,1,3,1,1,6,1,1,1,1,3,3,2,1,6,1,1,2,1,3,3,2,1,6,1,1,1,2,1,4,2,2,6,3,1,2,2,3,4,2,2,5,3,2,2,2,1,4,2,2,5,3,2,2,1,3,3,1,1,6,3,1,2,1,3,3,2,2,6,3,1,1,1,3,4,1,1,6","39,15,134,132,52,26,111,140,64,86,96,14,21,139,103,112,141,101,66,11,36,99,92,91,42,48,16,0,56,49,129,57,88,93,70,89,7,2,4,43,45,65,5,121,130,83,107,63,54,79,32,143,84,106,80,19,75,38,104,94,67,127,109,22,95,118,135,117,131,138,34,44,97,73,125,136,124,1,122,115,50,78,114,9,77,82,142,133,33,20,74,119,24,8,53,110,68,113,30,25,116,90,126,13,128,55,72,27,71,40,60,51,98,46,59,120,12,31,108,85,23,61,35,76,69,18,37,17,62,81,58,3,6,100,47,41,28,29,10,87,123,137,105,102","true"
