"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard"
"vsl-grid-scene-snap","232","687942","0.0-5.0-10.0-7.0","","","[[0,""img/obj10.png"",0,0,0],[0,0,""img/obj6.png"",""img/obj4.png"",0],[0,""img/obj5.png"",""img/obj12.png"",0,0],[0,0,0,""img/obj1.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","233","690947","0.0-5.0-10.0-8.0","","","[[0,0,""img/obj4.png"",""img/obj2.png"",0],[0,""img/obj12.png"",""img/obj9.png"",0,0],[0,""img/obj3.png"",""img/obj1.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","234","693951","0.0-5.0-10.0-9.0","","","[[0,""img/obj7.png"",""img/obj2.png"",0,0],[0,""img/obj9.png"",""img/obj8.png"",0,0],[""img/obj3.png"",0,0,""img/obj11.png"",0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","235","696954","0.0-5.0-10.0-10.0","","","[[0,0,""img/obj2.png"",0,0],[""img/obj10.png"",""img/obj9.png"",0,0,0],[""img/obj3.png"",""img/obj6.png"",0,0,0],[""img/obj5.png"",0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","236","699959","0.0-5.0-10.0-11.0","","","[[0,0,0,""img/obj2.png"",0],[0,0,""img/obj9.png"",""img/obj4.png"",0],[0,""img/obj3.png"",""img/obj12.png"",0,0],[0,0,0,""img/obj1.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","237","702963","0.0-5.0-10.0-12.0","","","[[0,0,0,0,0],[0,0,""img/obj10.png"",0,0],[0,0,0,""img/obj6.png"",""img/obj2.png""],[0,0,""img/obj5.png"",""img/obj9.png"",0],[0,0,""img/obj3.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","238","705968","0.0-5.0-10.0-13.0","","","[[0,0,0,0,0],[""img/obj7.png"",0,0,""img/obj4.png"",0],[0,""img/obj8.png"",""img/obj12.png"",0,0],[0,0,""img/obj11.png"",""img/obj1.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","239","708973","0.0-5.0-10.0-14.0","","","[[0,0,0,0,0],[0,""img/obj7.png"",""img/obj4.png"",0,0],[0,""img/obj12.png"",""img/obj8.png"",0,0],[0,0,""img/obj1.png"",""img/obj11.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","240","711975","0.0-5.0-10.0-15.0","","","[[0,""img/obj7.png"",0,0,0],[0,0,""img/obj8.png"",0,0],[0,0,""img/obj10.png"",""img/obj11.png"",0],[0,0,0,""img/obj6.png"",0],[0,0,""img/obj5.png"",0,0]]","","","","","","","","","",""
"html-keyboard-response","241","713981","0.0-6.0-0.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>120","null","","","","","","","","",""
"html-keyboard-response","242","714983","0.0-6.0-1.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>119","null","","","","","","","","",""
"html-keyboard-response","243","715986","0.0-6.0-2.0","","null","<p>Your practice session is now over.</p><p>The test session will start in 2 minutes.<p><p>You can use these two minutes to relaxe your eyes.</p><p> <br> </p><p>Seconds remaining:</p><p> <br> </p>118","null","","","","","","","","",""
