"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard"
"vsl-grid-scene-snap","12","145639","0.0-4.0-0.0-8.0","","","[[0,0,0,0,""img/obj10.png""],[0,0,""img/obj7.png"",""img/obj6.png"",0],[0,""img/obj2.png"",""img/obj3.png"",0,0],[0,0,""img/obj1.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","13","148656","0.0-4.0-0.0-9.0","","","[[0,0,""img/obj7.png"",0,0],[0,""img/obj2.png"",""img/obj11.png"",0,0],[0,0,""img/obj1.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj8.png""],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","14","151680","0.0-4.0-0.0-10.0","","","[[0,0,0,0,0],[0,""img/obj11.png"",0,0,""img/obj7.png""],[0,0,""img/obj5.png"",""img/obj2.png"",0],[0,0,0,""img/obj8.png"",""img/obj1.png""],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","15","154695","0.0-4.0-0.0-11.0","","","[[0,0,0,0,0],[""img/obj9.png"",""img/obj11.png"",0,0,0],[0,""img/obj12.png"",""img/obj5.png"",0,0],[""img/obj4.png"",0,0,""img/obj8.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","16","157724","0.0-4.0-0.0-12.0","","","[[0,0,0,0,0],[0,0,0,""img/obj7.png"",0],[0,""img/obj9.png"",""img/obj2.png"",0,0],[0,0,""img/obj12.png"",""img/obj1.png"",0],[0,""img/obj4.png"",0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","17","160749","0.0-4.0-0.0-13.0","","","[[0,0,0,0,0],[0,0,0,""img/obj10.png"",0],[0,""img/obj11.png"",""img/obj6.png"",0,0],[0,""img/obj3.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj8.png"",0]]","","","","","","","","","",""
"vsl-grid-scene-snap","18","163775","0.0-4.0-0.0-14.0","","","[[0,""img/obj11.png"",0,0,0],[0,0,""img/obj5.png"",""img/obj10.png"",0],[0,0,""img/obj6.png"",""img/obj8.png"",0],[0,""img/obj3.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","19","166803","0.0-4.0-0.0-15.0","","","[[0,0,0,0,0],[0,""img/obj9.png"",0,0,0],[0,0,""img/obj12.png"",""img/obj10.png"",0],[0,""img/obj4.png"",""img/obj6.png"",0,0],[0,""img/obj3.png"",0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","20","169826","0.0-4.0-0.0-16.0","","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj11.png"",0,0,""img/obj7.png""],[0,0,""img/obj5.png"",""img/obj2.png"",0],[0,0,0,""img/obj8.png"",""img/obj1.png""]]","","","","","","","","","",""
"vsl-grid-scene-snap","21","172851","0.0-4.0-0.0-17.0","","","[[0,""img/obj9.png"",0,0,0],[0,0,""img/obj12.png"",""img/obj10.png"",0],[0,""img/obj4.png"",""img/obj6.png"",0,0],[0,""img/obj3.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
