"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","key_press","test_part","correct_response","test_number","correct","randomID","subject","image_switchboard","scene_order"
"","vsl-grid-scene-snap","57","1607694","0.0-4.0-2.0-3.0","","[[0,0,0,0,0],[""img/obj1.png"",0,0,0,0],[0,""img/obj7.png"",""img/obj9.png"",0,0],[0,""img/obj4.png"",""img/obj12.png"",0,0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","58","1610715","0.0-4.0-2.0-4.0","","[[0,0,0,0,0],[0,0,0,0,0],[0,""img/obj1.png"",""img/obj2.png"",0,0],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,0,""img/obj10.png"",""img/obj12.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","59","1613732","0.0-4.0-2.0-5.0","","[[0,0,0,0,0],[0,0,0,0,""img/obj8.png""],[0,0,""img/obj2.png"",""img/obj11.png"",0],[0,0,""img/obj3.png"",""img/obj5.png"",0],[0,0,""img/obj10.png"",0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","60","1616750","0.0-4.0-2.0-6.0","","[[0,0,0,""img/obj8.png"",0],[0,""img/obj2.png"",""img/obj11.png"",0,0],[0,""img/obj3.png"",""img/obj5.png"",0,0],[0,""img/obj10.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","61","1619758","0.0-4.0-2.0-7.0","","[[0,0,0,""img/obj8.png"",0],[0,""img/obj9.png"",""img/obj11.png"",0,0],[""img/obj4.png"",""img/obj3.png"",0,0,0],[0,""img/obj6.png"",0,0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","62","1622781","0.0-4.0-2.0-8.0","","[[0,0,0,0,""img/obj8.png""],[0,0,""img/obj9.png"",""img/obj11.png"",0],[0,""img/obj4.png"",""img/obj3.png"",0,0],[0,0,""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","63","1625804","0.0-4.0-2.0-9.0","","[[0,0,0,0,0],[0,""img/obj1.png"",""img/obj8.png"",0,0],[0,""img/obj11.png"",""img/obj7.png"",0,0],[""img/obj3.png"",0,0,""img/obj12.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","64","1628823","0.0-4.0-2.0-10.0","","[[0,0,0,0,0],[0,""img/obj1.png"",0,0,0],[0,0,""img/obj7.png"",""img/obj2.png"",0],[0,0,0,""img/obj12.png"",""img/obj5.png""],[0,0,0,""img/obj10.png"",0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","65","1631837","0.0-4.0-2.0-11.0","","[[0,0,0,0,0],[0,""img/obj1.png"",""img/obj2.png"",0,0],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,0,""img/obj10.png"",""img/obj12.png"",0],[0,0,0,0,0]]","","","","","","","","","","",""
"","vsl-grid-scene-snap","66","1634849","0.0-4.0-2.0-12.0","","[[0,0,0,0,0],[0,""img/obj1.png"",0,0,0],[0,0,""img/obj7.png"",""img/obj9.png"",0],[0,0,""img/obj4.png"",""img/obj12.png"",0],[0,0,0,""img/obj6.png"",0]]","","","","","","","","","","",""
