"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","button_pressed","responses","training_vector","training_matrixRow","key_press"
"vsl-grid-scene-snap","27","207325","0.0-5.0-0.0-22.0","","","[[""img/obj5.png"",0,""img/obj9.png""],[""img/obj2.png"",""img/obj12.png"",0],[0,""img/obj8.png"",""img/obj1.png""]]","","","1,1,2,2,3,3,3,1,5","13",""
"vsl-grid-scene-snap","28","212324","0.0-5.0-0.0-23.0","","","[[""img/obj5.png"",0,0],[""img/obj2.png"",""img/obj9.png"",0],[""img/obj12.png"",""img/obj8.png"",""img/obj1.png""]]","","","1,1,2,2,3,3,2,2,5","17",""
"vsl-grid-scene-snap","29","217322","0.0-5.0-0.0-24.0","","","[[0,""img/obj8.png"",""img/obj1.png""],[0,""img/obj9.png"",""img/obj7.png""],[""img/obj12.png"",0,""img/obj10.png""]]","","","3,2,1,2,1,3,2,2,5","120",""
"vsl-grid-scene-snap","30","222336","0.0-5.0-0.0-25.0","","","[[""img/obj7.png"",""img/obj4.png"",0],[""img/obj10.png"",0,""img/obj3.png""],[""img/obj11.png"",""img/obj6.png"",0]]","","","1,1,1,1,3,4,2,1,6","30",""
"vsl-grid-scene-snap","31","227334","0.0-5.0-0.0-26.0","","","[[""img/obj8.png"",""img/obj1.png"",""img/obj9.png""],[0,""img/obj12.png"",""img/obj5.png""],[0,0,""img/obj2.png""]]","","","3,2,2,1,1,3,3,1,5","117",""
"vsl-grid-scene-snap","32","232334","0.0-5.0-0.0-27.0","","","[[0,""img/obj9.png"",""img/obj5.png""],[""img/obj12.png"",0,""img/obj2.png""],[""img/obj11.png"",""img/obj6.png"",0]]","","","3,1,2,1,3,4,2,1,5","99",""
"vsl-grid-scene-snap","33","237334","0.0-5.0-0.0-28.0","","","[[""img/obj5.png"",0,""img/obj9.png""],[""img/obj2.png"",""img/obj12.png"",0],[0,""img/obj11.png"",""img/obj6.png""]]","","","1,1,2,2,3,4,3,1,5","15",""
"vsl-grid-scene-snap","34","242334","0.0-5.0-0.0-29.0","","","[[""img/obj8.png"",""img/obj1.png"",""img/obj7.png""],[0,""img/obj4.png"",""img/obj10.png""],[0,0,""img/obj3.png""]]","","","3,1,1,1,1,3,2,2,6","80",""
"vsl-grid-scene-snap","35","247329","0.0-5.0-0.0-30.0","","","[[""img/obj4.png"",0,0],[""img/obj7.png"",""img/obj3.png"",0],[""img/obj10.png"",""img/obj11.png"",""img/obj6.png""]]","","","1,2,1,2,3,4,1,1,6","58",""
"vsl-grid-scene-snap","36","252326","0.0-5.0-0.0-31.0","","","[[""img/obj8.png"",""img/obj1.png"",""img/obj5.png""],[0,""img/obj9.png"",""img/obj2.png""],[""img/obj12.png"",0,0]]","","","3,1,2,1,1,3,2,2,5","73",""
