"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","response","test_part","correct_response","test_number","test_scene","patternsize","true_test","correct","subject","image_switchboard"
"vsl-grid-scene-snap","191","568650","0.0-5.0-8.0-18.0","","","[[0,0,""img/obj8.png"",0,0],[0,0,""img/obj2.png"",""img/obj11.png"",0],[0,""img/obj1.png"",""img/obj6.png"",0,0],[0,0,""img/obj7.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","192","571652","0.0-5.0-8.0-19.0","","","[[0,""img/obj10.png"",0,0,0],[0,0,""img/obj5.png"",""img/obj2.png"",0],[0,0,""img/obj1.png"",""img/obj9.png"",0],[0,0,0,""img/obj7.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","193","574655","0.0-5.0-8.0-20.0","","","[[0,0,0,0,0],[0,0,0,""img/obj4.png"",0],[0,""img/obj2.png"",""img/obj3.png"",0,0],[""img/obj1.png"",""img/obj12.png"",0,0,0],[0,""img/obj7.png"",0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","194","577656","0.0-5.0-8.0-21.0","","","[[0,0,0,""img/obj4.png"",0],[0,""img/obj10.png"",""img/obj3.png"",0,0],[0,""img/obj12.png"",""img/obj5.png"",0,0],[0,0,0,""img/obj9.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","195","580659","0.0-5.0-8.0-22.0","","","[[0,""img/obj10.png"",0,0,0],[0,0,""img/obj5.png"",0,0],[0,0,""img/obj8.png"",""img/obj9.png"",0],[0,0,0,""img/obj11.png"",0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","196","583661","0.0-5.0-8.0-23.0","","","[[0,0,""img/obj2.png"",0,0],[""img/obj10.png"",""img/obj1.png"",0,0,0],[0,""img/obj5.png"",""img/obj7.png"",0,0],[0,0,""img/obj9.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","197","586663","0.0-5.0-8.0-24.0","","","[[0,0,0,0,0],[0,0,0,""img/obj2.png"",""img/obj4.png""],[0,0,""img/obj1.png"",""img/obj3.png"",0],[0,0,""img/obj12.png"",""img/obj7.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","198","589665","0.0-5.0-8.0-25.0","","","[[0,0,""img/obj8.png"",""img/obj4.png"",0],[0,0,""img/obj3.png"",""img/obj11.png"",0],[0,""img/obj12.png"",""img/obj6.png"",0,0],[0,0,0,0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","199","592668","0.0-5.0-8.0-26.0","","","[[0,0,0,0,0],[""img/obj10.png"",0,0,0,0],[0,""img/obj5.png"",""img/obj8.png"",0,0],[0,0,""img/obj9.png"",""img/obj11.png"",0],[0,0,""img/obj6.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","200","595671","0.0-5.0-8.0-27.0","","","[[0,0,0,""img/obj2.png"",0],[0,0,""img/obj1.png"",0,0],[0,0,""img/obj10.png"",""img/obj7.png"",0],[0,0,0,""img/obj5.png"",0],[0,0,0,0,""img/obj9.png""]]","","","","","","","","","",""
"vsl-grid-scene-snap","201","598674","0.0-5.0-8.0-28.0","","","[[0,""img/obj8.png"",0,0,0],[0,0,""img/obj11.png"",0,0],[0,""img/obj6.png"",""img/obj4.png"",0,0],[0,""img/obj3.png"",0,0,0],[""img/obj12.png"",0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","202","601675","0.0-5.0-8.0-29.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj1.png"",""img/obj10.png"",0,0],[0,0,""img/obj7.png"",""img/obj5.png"",0],[0,0,0,0,""img/obj9.png""],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","203","604678","0.0-5.0-8.0-30.0","","","[[0,0,0,0,0],[0,0,""img/obj8.png"",""img/obj4.png"",0],[0,0,""img/obj3.png"",""img/obj11.png"",0],[0,""img/obj12.png"",""img/obj6.png"",0,0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","204","607680","0.0-5.0-8.0-31.0","","","[[0,0,0,0,0],[0,""img/obj10.png"",0,0,0],[0,0,""img/obj5.png"",""img/obj4.png"",0],[0,0,""img/obj3.png"",""img/obj9.png"",0],[0,""img/obj12.png"",0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","205","610681","0.0-5.0-8.0-32.0","","","[[0,0,0,""img/obj8.png"",0],[0,0,0,0,""img/obj11.png""],[0,0,0,""img/obj6.png"",""img/obj4.png""],[0,0,0,""img/obj3.png"",0],[0,0,""img/obj12.png"",0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","206","613682","0.0-5.0-8.0-33.0","","","[[0,""img/obj8.png"",0,0,0],[0,0,""img/obj11.png"",""img/obj2.png"",0],[0,""img/obj6.png"",""img/obj1.png"",0,0],[0,0,0,""img/obj7.png"",0],[0,0,0,0,0]]","","","","","","","","","",""
"vsl-grid-scene-snap","207","616685","0.0-5.0-8.0-34.0","","","[[0,0,""img/obj2.png"",0,0],[0,""img/obj1.png"",0,0,0],[0,""img/obj10.png"",""img/obj7.png"",0,0],[0,0,""img/obj5.png"",0,0],[0,0,0,""img/obj9.png"",0]]","","","","","","","","","",""
